date,name,value
2020-05-30,US,1770165.0
2020-05-29,US,1746019.0
2020-05-28,US,1721753.0
2020-05-27,US,1699176.0
2020-05-26,US,1680913.0
2020-05-25,US,1662302.0
2020-05-24,US,1643246.0
2020-05-23,US,1622612.0
2020-05-22,US,1600937.0
2020-05-21,US,1577147.0
2020-05-20,US,1551853.0
2020-05-19,US,1528568.0
2020-05-18,US,1508308.0
2020-05-17,US,1486757.0
2020-05-16,US,1467820.0
2020-05-15,US,1442824.0
2020-05-14,US,1417774.0
2020-05-13,US,1390406.0
2020-05-12,US,1369376.0
2020-05-11,US,1347881.0
2020-05-10,US,1329260.0
2020-05-09,US,1309550.0
2020-05-08,US,1283929.0
2020-05-07,US,1257023.0
2020-05-06,US,1229331.0
2020-05-05,US,1204351.0
2020-05-04,US,1180375.0
2020-05-03,US,1158040.0
2020-05-02,US,1132539.0
2020-05-01,US,1103461.0
2020-04-30,US,1069424.0
2020-04-29,US,1039909.0
2020-04-28,US,1012582.0
2020-04-27,US,988197.0
2020-04-26,US,965785.0
2020-04-25,US,938154.0
2020-04-24,US,905358.0
2020-04-23,US,869170.0
2020-04-22,US,840351.0
2020-04-21,US,811865.0
2020-04-20,US,784708.0
2020-04-19,US,758809.0
2020-04-18,US,732590.0
2020-04-17,US,700062.0
2020-04-16,US,667981.0
2020-04-15,US,636674.0
2020-04-14,US,607670.0
2020-04-13,US,580624.0
2020-04-12,US,555313.0
2020-04-11,US,526776.0
2020-05-30,Brazil,498440.0
2020-04-10,US,496846.0
2020-05-29,Brazil,465166.0
2020-04-09,US,463327.0
2020-05-28,Brazil,438238.0
2020-04-08,US,428654.0
2020-05-27,Brazil,411821.0
2020-04-07,US,397121.0
2020-05-30,Russia,396575.0
2020-05-26,Brazil,391222.0
2020-05-29,Russia,387623.0
2020-05-28,Russia,379051.0
2020-05-25,Brazil,374898.0
2020-05-27,Russia,370680.0
2020-04-06,US,366317.0
2020-05-24,Brazil,363211.0
2020-05-26,Russia,362342.0
2020-05-25,Russia,353427.0
2020-05-23,Brazil,347398.0
2020-05-24,Russia,344481.0
2020-04-05,US,336802.0
2020-05-23,Russia,335882.0
2020-05-22,Brazil,330890.0
2020-05-22,Russia,326448.0
2020-05-21,Russia,317554.0
2020-05-21,Brazil,310087.0
2020-04-04,US,309027.0
2020-05-20,Russia,308705.0
2020-05-19,Russia,299941.0
2020-05-20,Brazil,291579.0
2020-05-18,Russia,290678.0
2020-05-17,Russia,281752.0
2020-04-03,US,275798.0
2020-05-30,United Kingdom,272826.0
2020-05-16,Russia,272043.0
2020-05-19,Brazil,271885.0
2020-05-29,United Kingdom,271222.0
2020-05-28,United Kingdom,269127.0
2020-05-27,United Kingdom,267240.0
2020-05-26,United Kingdom,265227.0
2020-05-15,Russia,262843.0
2020-05-25,United Kingdom,261184.0
2020-05-24,United Kingdom,259559.0
2020-05-23,United Kingdom,257154.0
2020-05-18,Brazil,255368.0
2020-05-22,United Kingdom,254195.0
2020-05-14,Russia,252245.0
2020-05-21,United Kingdom,250908.0
2020-05-19,United Kingdom,248818.0
2020-05-20,United Kingdom,248293.0
2020-05-18,United Kingdom,246406.0
2020-04-02,US,244008.0
2020-05-17,United Kingdom,243695.0
2020-05-13,Russia,242271.0
2020-05-17,Brazil,241080.0
2020-05-16,United Kingdom,240161.0
2020-05-30,Spain,239228.0
2020-05-29,Spain,238564.0
2020-05-28,Spain,237906.0
2020-05-15,United Kingdom,236711.0
2020-05-26,Spain,236259.0
2020-05-27,Spain,236259.0
2020-05-24,Spain,235772.0
2020-05-25,Spain,235400.0
2020-05-23,Spain,235290.0
2020-05-22,Spain,234824.0
2020-05-16,Brazil,233511.0
2020-05-14,United Kingdom,233151.0
2020-05-21,Spain,233037.0
2020-05-30,Italy,232664.0
2020-05-20,Spain,232555.0
2020-05-29,Italy,232248.0
2020-05-12,Russia,232243.0
2020-05-19,Spain,232037.0
2020-05-28,Italy,231732.0
2020-05-18,Spain,231606.0
2020-05-27,Italy,231139.0
2020-05-16,Spain,230698.0
2020-05-17,Spain,230698.0
2020-05-26,Italy,230555.0
2020-05-15,Spain,230183.0
2020-05-25,Italy,230158.0
2020-05-24,Italy,229858.0
2020-05-13,United Kingdom,229705.0
2020-05-14,Spain,229540.0
2020-05-23,Italy,229327.0
2020-05-13,Spain,228691.0
2020-05-22,Italy,228658.0
2020-05-12,Spain,228030.0
2020-05-21,Italy,228006.0
2020-05-11,Spain,227436.0
2020-05-20,Italy,227364.0
2020-05-19,Italy,226699.0
2020-05-12,United Kingdom,226463.0
2020-05-18,Italy,225886.0
2020-05-17,Italy,225435.0
2020-05-16,Italy,224760.0
2020-05-10,Spain,224350.0
2020-05-15,Italy,223885.0
2020-05-09,Spain,223578.0
2020-05-14,Italy,223096.0
2020-05-11,United Kingdom,223060.0
2020-05-08,Spain,222857.0
2020-05-13,Italy,222104.0
2020-05-07,Spain,221447.0
2020-05-11,Russia,221344.0
2020-05-12,Italy,221216.0
2020-05-06,Spain,220325.0
2020-05-15,Brazil,220291.0
2020-05-11,Italy,219814.0
2020-05-05,Spain,219329.0
2020-05-10,United Kingdom,219183.0
2020-05-10,Italy,219070.0
2020-05-09,Italy,218268.0
2020-05-04,Spain,218011.0
2020-05-03,Spain,217466.0
2020-05-08,Italy,217185.0
2020-05-02,Spain,216582.0
2020-05-07,Italy,215858.0
2020-05-09,United Kingdom,215260.0
2020-05-01,Spain,215216.0
2020-05-06,Italy,214457.0
2020-04-01,US,213602.0
2020-04-30,Spain,213435.0
2020-04-23,Spain,213024.0
2020-05-05,Italy,213013.0
2020-04-29,Spain,212917.0
2020-05-04,Italy,211938.0
2020-05-08,United Kingdom,211364.0
2020-04-28,Spain,210773.0
2020-05-03,Italy,210717.0
2020-05-10,Russia,209688.0
2020-04-27,Spain,209465.0
2020-05-02,Italy,209328.0
2020-04-22,Spain,208389.0
2020-04-26,Spain,207634.0
2020-05-01,Italy,207428.0
2020-05-07,United Kingdom,206715.0
2020-04-25,Spain,205905.0
2020-04-30,Italy,205463.0
2020-04-21,Spain,204178.0
2020-04-29,Italy,203591.0
2020-05-14,Brazil,203165.0
2020-04-24,Spain,202990.0
2020-04-28,Italy,201505.0
2020-05-06,United Kingdom,201101.0
2020-04-20,Spain,200210.0
2020-04-27,Italy,199414.0
2020-05-09,Russia,198676.0
2020-04-19,Spain,198674.0
2020-04-26,Italy,197675.0
2020-04-25,Italy,195351.0
2020-05-05,United Kingdom,194990.0
2020-04-24,Italy,192994.0
2020-04-18,Spain,191726.0
2020-04-17,Spain,190839.0
2020-05-04,United Kingdom,190584.0
2020-05-13,Brazil,190137.0
2020-04-23,Italy,189973.0
2020-03-31,US,188172.0
2020-05-08,Russia,187859.0
2020-04-22,Italy,187327.0
2020-05-03,United Kingdom,186599.0
2020-05-30,France,185616.0
2020-04-16,Spain,184948.0
2020-04-21,Italy,183957.0
2020-05-29,France,183816.0
2020-05-28,France,183309.0
2020-05-30,Germany,183189.0
2020-05-29,Germany,182922.0
2020-05-02,United Kingdom,182260.0
2020-05-28,Germany,182196.0
2020-05-30,India,181827.0
2020-05-27,Germany,181524.0
2020-04-20,Italy,181228.0
2020-05-26,Germany,181200.0
2020-05-25,Germany,180600.0
2020-05-24,Germany,180328.0
2020-05-25,France,180166.0
2020-05-27,France,180044.0
2020-05-23,Germany,179986.0
2020-05-23,France,179964.0
2020-05-26,France,179887.0
2020-05-24,France,179859.0
2020-05-22,Germany,179710.0
2020-05-22,France,179645.0
2020-05-21,France,179306.0
2020-05-20,France,179069.0
2020-05-21,Germany,179021.0
2020-04-19,Italy,178972.0
2020-05-20,Germany,178473.0
2020-05-19,France,178428.0
2020-05-12,Brazil,178214.0
2020-05-19,Germany,177778.0
2020-04-15,Spain,177644.0
2020-05-18,France,177554.0
2020-05-01,United Kingdom,177454.0
2020-05-15,France,177319.0
2020-05-17,France,177240.0
2020-05-16,France,177207.0
2020-05-07,Russia,177160.0
2020-05-14,France,176712.0
2020-05-18,Germany,176551.0
2020-05-17,Germany,176369.0
2020-05-12,France,176207.0
2020-05-13,France,175981.0
2020-04-18,Italy,175925.0
2020-05-16,Germany,175752.0
2020-05-11,France,175479.0
2020-05-15,Germany,175233.0
2020-05-10,France,175027.0
2020-05-09,France,174758.0
2020-05-14,Germany,174478.0
2020-05-08,France,174318.0
2020-05-13,Germany,174098.0
2020-05-29,India,173491.0
2020-05-12,Germany,173171.0
2020-05-07,France,173040.0
2020-05-11,Germany,172576.0
